Sector_score,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B.1,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Detection_Risk,Audit_Risk,Risk
3.89,0.02,0.2,0.004,5.94,0.4,2.376,5.96,5,0.2,,,0.2,0.002,2,0.2,0.4,0,0.2,0,2.6,3.782,0.4,0.5,0.7564,0
3.89,5.31,0.6,3.186,22.79,0.6,13.674,28.1,5,0.2,1,205.19,0.6,,2,0.2,0.4,,0.4,0.4,4.2,141.774,0.8,0.5,56.7096,1
3.89,0.94,0.2,0.188,0.01,0.2,0.002,0.95,5,0.2,1,0.1,0.2,0.02,2,0.2,0.4,0,0.2,0,2,1.61,0.4,0.5,0.322,0
3.89,5.78,,3.468,57.92,0.6,,63.7,5,0.2,1,11.16,0.6,6.696,2,0.2,,0,0.2,0,4,46.316,0.4,0.5,9.2632,1
3.89,7.42,0.6,4.452,2.24,0.2,,9.66,5,0.2,1,1.25,0.2,0.25,2,0.2,0.4,0,0.2,0,2.4,6.55,0.4,0.5,1.31,1
3.89,0,0.2,0,1.1,0.2,0.22,1.1,5,0.2,1,0.007,0.2,0.0014,2,0.2,0.4,0,,0,2,1.6214,0.4,0.5,0.32428,0
3.89,6.85,,4.11,31.76,0.6,19.056,38.61,5,0.2,1,,0.2,0.292,2,0.2,,0,0.2,0,3.6,24.858,0.4,0.5,4.9716,1
3.89,0,0.2,0,1.03,0.2,0.206,1.03,5,,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.606,0.4,0.5,0.3212,0
3.89,0,0.2,0,0.75,0.2,0.15,0.75,5,0.2,1,6.78,0.4,2.712,2,0.2,0.4,0,0.2,0,,4.262,0.4,0.5,0.8524,0
,2.4,0.6,1.44,16.63,,9.978,19.03,5,0.2,1,1.16,,0.232,2,0.2,0.4,0,0.2,0,3.6,13.05,0.4,0.5,2.61,1
3.89,0,0.2,0,0.05,,0.01,0.05,5,0.2,1,152.41,,91.446,2,0.2,0.4,,0.2,0,2.4,,0.4,0.5,18.5712,1
3.89,0,0.2,0,1.76,0.2,0.352,1.76,5,0.2,1,1.08,0.2,0.216,2,0.2,0.4,0,0.2,0,2,1.968,,0.5,0.3936,0
3.89,0,0.2,0,2.97,0.2,0.594,2.97,5,0.2,1,2.84,0.2,0.568,2,0.2,0.4,,0.2,0,2,2.562,0.4,0.5,0.5124,0
3.89,0,0.2,0,0.43,0.2,0.086,0.43,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.486,0.4,0.5,0.2972,0
,0,0.2,0,0.94,,0.188,0.94,5,0.2,1,0.9,0.2,0.18,2,0.2,0.4,0,0.2,0,2,1.768,0.4,,0.3536,0
3.89,9.01,,5.406,19.82,0.6,,28.83,5,0.2,1,9.67,0.4,3.868,2,0.2,0.4,0,0.2,0,3.8,22.566,0.4,0.5,4.5132,1
3.89,0,0.2,,0.05,0.2,0.01,0.05,5,0.2,1,0,0.2,0,2,0.2,0.4,0,,0,,1.41,0.4,0.5,0.282,0
3.89,11.95,0.6,7.17,30.9,0.6,18.54,,5,0.2,1,32.68,0.6,19.608,2,0.2,0.4,0,0.2,0,4,46.718,0.4,0.5,9.3436,1
3.89,7.97,0.6,4.782,17.18,0.6,10.308,25.15,5,0.2,1,935.03,0.6,561.018,2,0.2,0.4,0,,,4,577.508,0.4,0.5,115.5016,1
3.89,0,0.2,0,3.71,0.2,0.742,3.71,5,0.2,,29.63,0.6,17.778,2,0.2,0.4,0,0.2,0,2.4,19.92,0.4,0.5,3.984,1
3.89,0.62,0.2,0.124,2.02,0.2,0.404,2.64,5,0.2,1,0.11,0.2,0.022,2,0.2,0.4,0,0.2,0,2,1.95,0.4,0.5,0.39,0
3.89,0,0.2,0,2.27,0.2,0.454,2.27,5,0.2,1,2.62,,0.524,2,0.2,0.4,0,0.2,,2,2.378,0.4,0.5,,0
3.89,0,0.2,,0,0.2,0,0,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.4,0.4,0.5,0.28,0
3.89,1.32,0.4,0.528,0,0.2,0,1.32,5,0.2,1,0.06,0.2,0.012,2,0.2,0.4,0,,0,,1.94,0.4,0.5,0.388,0
,0,0.2,0,1.03,0.2,0.206,1.03,5,0.2,1,2.43,0.2,0.486,2,0.2,0.4,0,0.2,0,2,2.092,0.4,0.5,0.4184,0
3.89,0,0.2,0,15.38,0.6,9.228,15.38,5,0.2,1,126.13,0.6,75.678,2,0.2,0.4,0,0.2,0,3.6,86.306,0.4,0.5,17.2612,1
3.89,0,0.2,0,1.02,0.2,0.204,1.02,5,,,0,0.2,0,,0.2,0.4,0,,0,2,1.604,0.4,0.5,0.3208,0
3.89,0,,0,20.71,0.6,12.426,20.71,5,0.2,1,,0.6,12.474,2,0.2,0.4,2,0.6,1.2,4,27.5,1.6,0.5,22,1
3.89,2.95,0.6,1.77,6.56,0.4,2.624,9.51,5,0.2,1,156.92,0.6,94.152,2,0.2,0.4,0,0.2,0,,99.946,0.4,0.5,19.9892,1
3.89,1.97,0.4,0.788,2.1,,0.42,4.07,5,0.2,1,12.29,0.6,7.374,2,0.6,1.2,,0.2,0,3,10.782,1.2,0.5,6.4692,1
3.89,0,,0,18.05,0.6,10.83,,5,0.2,1,2.29,0.2,0.458,2,0.2,0.4,0,0.2,0,3.2,12.688,0.4,0.5,2.5376,1
3.89,0,0.2,0,0.93,0.2,0.186,0.93,5,0.2,1,7.78,0.4,3.112,2,0.2,0.4,0,0.2,0,2.2,4.698,0.4,0.5,0.9396,0
3.89,0,0.2,0,1.61,0.2,0.322,1.61,5,0.2,1,2.51,0.2,0.502,2,0.2,0.4,0,0.2,,2,2.224,0.4,0.5,0.4448,0
3.89,6.32,0.6,3.792,9.01,0.4,3.604,15.33,5,0.2,1,8.31,0.4,3.324,2,0.2,0.4,0,0.2,0,3.2,12.12,,0.5,2.424,1
3.89,0,0.2,0,1.05,0.2,0.21,1.05,5,0.2,1,0.16,0.2,0.032,2,0.2,0.4,0,,0,2,1.642,0.4,0.5,0.3284,0
,0,0.2,0,6.8,0.4,,6.8,5,0.2,1,47.9,,28.74,2,0.2,0.4,0,0.2,0,3,,0.4,0.5,6.572,1
3.89,14.04,0.6,8.424,10.83,0.6,6.498,24.87,5,0.2,1,8.91,0.4,3.564,2,0.2,,0,0.2,0,3.8,19.886,0.4,0.5,3.9772,1
3.89,6.67,0.6,4.002,18.02,0.6,10.812,24.69,5.5,0.4,2.2,4.95,0.2,0.99,2,0.2,0.4,2,0.6,1.2,4.4,19.604,1.6,0.5,15.6832,1
3.89,0,0.2,,0,0.2,0,0,5,0.2,1,1.75,0.2,0.35,2,0.2,0.4,0,0.2,0,2,1.75,0.4,0.5,0.35,0
3.89,0,0.2,0,0.08,0.2,0.016,0.08,5,0.2,1,0.68,,,2,0.2,0.4,0,0.2,0,2,1.552,0.4,0.5,0.3104,0
3.89,1.26,0.4,0.504,0.05,0.2,0.01,1.31,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,,2.2,1.914,0.4,0.5,0.3828,0
3.89,0,0.2,0,0.03,0.2,0.006,0.03,5,0.2,1,0.06,,0.012,2,0.2,0.4,0,0.2,0,2,1.418,0.4,0.5,0.2836,0
3.89,0,0.2,0,0.79,0.2,0.158,0.79,5,0.2,1,15.82,0.6,9.492,2,0.2,0.4,0,0.2,0,2.4,11.05,0.4,0.5,2.21,1
3.89,4.76,0.6,2.856,13.03,0.6,7.818,17.79,5,0.2,1,0.58,0.2,0.116,2,0.2,0.4,1,0.4,0.4,3.8,12.59,0.8,0.5,5.036,1
3.89,8.81,0.6,5.286,9.02,0.4,3.608,17.83,5,0.2,,215.31,0.6,129.186,2,0.2,0.4,1,0.4,0.4,3.6,139.88,0.8,0.5,55.952,1
3.89,0,0.2,0,0.07,0.2,0.014,0.07,5,0.2,1,,0.2,0,2,0.2,0.4,0,0.2,0,,1.414,0.4,0.5,0.2828,0
3.89,13.92,0.6,,2.2,0.2,0.44,16.12,5,0.2,1,0.05,0.2,0.01,2,0.2,0.4,0,0.2,0,2.4,10.202,0.4,0.5,2.0404,1
3.89,1.07,,0.428,0,0.2,0,1.07,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.2,1.828,,0.5,0.3656,0
3.89,0,0.2,0,0.89,0.2,0.178,0.89,5,0.2,1,0,0.2,0,2,0.2,0.4,0,,0,2,1.578,0.4,0.5,0.3156,0
3.89,0,0.2,0,3.98,0.2,0.796,3.98,6,0.6,3.6,,0.6,32.004,2,0.2,0.4,0,0.2,0,3.2,36.8,0.4,0.5,7.36,1
3.89,10,0.6,6,74.26,0.6,44.556,84.26,5.5,0.4,2.2,11.16,0.6,6.696,2,0.2,0.4,3,0.6,1.8,4.8,61.652,2.2,0.5,67.8172,1
3.89,4.24,0.6,2.544,,0.4,3.224,12.3,5,0.2,1,10.69,0.6,6.414,2,0.2,0.4,0,0.2,0,3.4,13.582,0.4,0.5,2.7164,1
3.89,12.27,0.6,7.362,72.46,0.6,43.476,84.73,5,0.2,1,5.69,,2.276,2,0.2,0.4,0,0.2,0,,54.514,0.4,0.5,10.9028,1
3.89,0,0.2,,0.96,0.2,0.192,0.96,5,0.2,1,1.35,0.2,0.27,2,0.2,0.4,0,0.2,0,2,1.862,0.4,0.5,0.3724,0
3.89,12.7,0.6,,1.28,0.2,0.256,13.98,5,0.2,1,11.69,0.6,7.014,2,0.2,0.4,0,0.2,0,2.8,16.29,0.4,0.5,3.258,1
3.89,0,0.2,,,0.6,37.878,63.13,5,0.2,,14.6,0.6,8.76,2,0.2,0.4,1,0.4,0.4,3.8,48.438,0.8,0.5,19.3752,1
3.89,,0.4,0.796,10.24,0.6,6.144,12.23,5,0.2,1,20.78,0.6,12.468,2,0.2,0.4,0,0.2,0,3.8,20.808,0.4,0.5,4.1616,1
3.89,0.05,0.2,0.01,0.21,0.2,0.042,0.26,5.5,0.4,2.2,102.22,0.6,61.332,2,0.2,0.4,,0.2,0,2.8,63.984,0.4,0.5,12.7968,1
3.89,0,0.2,0,7.37,0.4,2.948,7.37,5,0.2,1,0.74,0.2,0.148,2,0.2,0.4,0,0.2,,2.6,4.496,0.4,0.5,0.8992,0
3.89,0,0.2,0,3.72,0.2,0.744,3.72,5,0.2,,0,0.2,0,2,0.2,0.4,9,0.6,5.4,2.4,7.544,5.8,0.5,21.8776,1
3.89,,0.6,42.888,25.63,0.6,15.378,97.11,5,0.2,1,873.37,0.6,524.022,2,0.2,0.4,0,0.2,0,4,583.688,0.4,0.5,116.7376,1
,0,0.2,0,0,,0,0,5,0.2,1,0,0.2,0,2,,0.4,0,0.2,0,2,1.4,0.4,0.5,0.28,0
3.89,0.74,0.2,0.148,1,,0.2,1.74,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,,0.4,0.5,0.3496,0
,0,0.2,0,0.58,0.2,0.116,0.58,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,,0.4,0.5,0.3032,0
,8.46,0.6,,72.76,0.6,43.656,81.22,5,0.2,1,1.4,0.2,0.28,2,0.4,0.8,2,0.6,1.2,4.2,52.012,2,0.5,52.012,1
3.89,0.42,0.2,0.084,,0.2,0.014,0.49,5,0.2,1,0.42,0.2,0.084,2,0.2,0.4,0,0.2,0,2,1.582,0.4,0.5,0.3164,0
3.89,0.01,0.2,0.002,1.29,,0.258,1.3,5.5,0.4,2.2,36.52,0.6,21.912,4,0.2,0.8,0,0.2,0,3,25.172,0.8,0.5,10.0688,1
,6.85,0.6,4.11,65.93,0.6,39.558,72.78,5.5,0.4,2.2,6.02,0.4,2.408,4,0.2,0.8,0,0.2,0,4.4,49.076,,0.5,19.6304,1
3.89,5.37,0.6,3.222,8.62,0.4,3.448,13.99,5,0.2,1,17.16,0.6,10.296,4,0.2,0.8,0,0.2,0,3.6,18.766,0.8,0.5,7.5064,1
3.89,4.93,0.6,,6.54,0.4,2.616,11.47,,0.4,2.2,12.91,0.6,7.746,4,,0.8,0,0.2,0,,16.32,0.8,0.5,6.528,1
3.89,1.22,0.4,0.488,0.06,0.2,0.012,1.28,5,0.2,1,0,0.2,0,4,,0.8,0,0.2,0,2.4,2.3,0.8,0.5,0.92,0
3.89,0,0.2,0,0.85,0.2,0.17,0.85,5,0.2,,0,0.2,0,4,0.2,0.8,0,0.2,0,2.2,1.97,0.8,0.5,0.788,0
3.89,15.72,0.6,9.432,57.94,0.6,34.764,,6,0.6,3.6,10.79,0.6,6.474,6,0.2,1.2,0,0.2,0,5.2,55.47,1.2,0.5,33.282,1
3.89,4.95,0.6,2.97,42.61,0.6,,47.56,5,0.2,1,3.46,0.2,0.692,6,0.2,1.2,1,0.4,0.4,4.2,31.828,1.6,0.5,25.4624,1
3.89,0,0.2,0,0.08,0.2,0.016,0.08,5,0.2,1,0.06,0.2,0.012,6,0.2,1.2,0,0.2,0,2.4,2.228,1.2,0.5,1.3368,1
3.89,1.19,0.4,0.476,12.88,0.6,7.728,14.07,5,0.2,1,2.33,0.2,0.466,6,0.2,1.2,0,0.2,0,3.8,10.87,1.2,0.5,6.522,1
3.89,0,0.2,0,2.72,0.2,0.544,2.72,5,0.2,1,5.58,0.4,2.232,6,0.2,1.2,0,0.2,0,2.6,4.976,1.2,0.5,2.9856,1
3.89,0,0.2,0,1.66,0.2,0.332,1.66,5,0.2,1,0.76,0.2,0.152,6,0.2,1.2,0,0.2,,,,1.2,0.5,1.6104,1
3.89,6.47,0.6,3.882,12.18,0.6,7.308,18.65,5,0.2,1,25.27,,15.162,6,0.2,1.2,0,0.2,0,4.4,28.552,1.2,0.5,17.1312,1
3.89,1.33,0.4,0.532,0,0.2,,1.33,5,0.2,1,0.2,0.2,0.04,6,0.2,1.2,,0.2,0,2.6,2.772,1.2,0.5,1.6632,1
3.89,0,0.2,0,1.1,0.2,0.22,1.1,5,0.2,1,0,0.2,0,6,0.2,1.2,0,0.2,0,2.4,2.42,1.2,0.5,,1
3.89,2.57,0.6,1.542,4.49,0.2,0.898,7.06,5,0.2,1,7.56,0.4,3.024,2,0.2,0.4,,0.4,0.4,2.8,7.264,0.8,0.5,2.9056,1
3.89,0,0.2,0,1.88,0.2,0.376,1.88,5,0.2,,0,0.2,0,2,0.2,0.4,0,,0,2,1.776,,0.5,0.3552,0
3.89,0.77,0.2,0.154,,0.6,10.986,19.08,5,0.2,1,67.03,0.6,40.218,2,0.2,0.4,0,0.2,0,3.6,52.758,0.4,0.5,10.5516,1
3.89,5.23,0.6,3.138,5.89,0.4,2.356,11.12,5,0.2,1,19.4,0.6,11.64,2,0.2,0.4,0,,,3.4,18.534,0.4,0.5,,1
3.89,6.59,0.6,3.954,23.66,0.6,14.196,30.25,5,0.2,1,34.83,0.6,20.898,2,0.2,0.4,1,0.4,0.4,4.2,40.848,0.8,0.5,16.3392,1
3.89,7.18,0.6,4.308,14.63,0.6,8.778,21.81,5,0.2,1,98.75,0.6,59.25,2,0.2,0.4,0,0.2,0,4,73.736,0.4,,14.7472,1
3.89,1,0.4,0.4,0,0.2,0,1,5,0.2,1,0.36,0.2,0.072,2,0.2,0.4,0,0.2,0,2.2,1.872,0.4,0.5,0.3744,0
,0,0.2,0,0.06,0.2,0.012,0.06,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,,2,1.412,0.4,0.5,0.2824,0
3.89,2.63,0.6,1.578,,0.2,0.51,5.18,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.4,3.488,0.4,0.5,0.6976,0
3.89,0,0.2,0,0.87,0.2,0.174,0.87,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.574,0.4,0.5,0.3148,0
3.89,10.96,0.6,6.576,41.47,0.6,24.882,52.43,5,0.2,1,,0.6,21.126,2,0.2,0.4,1,,0.4,4.2,54.384,0.8,0.5,,1
3.89,0,,0,0.23,0.2,0.046,0.23,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.446,0.4,0.5,0.2892,0
3.41,4.25,0.6,2.55,45.51,0.6,27.306,49.76,5.5,0.4,2.2,8.2,0.4,3.28,2,0.2,,0,0.2,0,4.2,35.736,0.4,0.5,7.1472,1
3.41,1.98,0.4,0.792,51.42,0.6,30.852,53.4,5.5,0.4,2.2,20.33,0.6,12.198,2,0.2,0.4,1,0.4,0.4,4.4,46.842,0.8,0.5,18.7368,1
3.41,1.44,0.4,0.576,29.25,0.6,17.55,30.69,,0.2,1,35.13,0.6,,2,0.2,0.4,0,0.2,0,3.8,40.604,0.4,0.5,8.1208,1
3.41,1.52,0.4,,37.33,0.6,22.398,38.85,5.5,0.4,2.2,63.7,0.6,38.22,2,0.2,0.4,0,0.2,0,4.2,63.826,0.4,,12.7652,1
3.41,3.63,0.6,,10.85,0.4,4.34,14.48,5,0.2,1,0.28,0.2,0.056,2,0.2,0.4,0,0.2,0,3,7.974,0.4,0.5,1.5948,1
3.41,1.35,0.4,0.54,66.35,0.6,,67.7,5.5,0.4,2.2,27.13,0.6,,2,,,3,0.6,1.8,4.6,61.028,2.2,0.5,67.1308,1
3.41,9.97,0.6,5.982,88.73,0.6,53.238,98.7,5,0.2,1,10.27,0.6,6.162,,0.2,0.4,0,0.2,0,4,66.782,0.4,0.5,,1
3.41,1.41,0.4,0.564,36.16,0.6,21.696,37.57,5,0.2,1,13.05,0.6,7.83,2,0.6,1.2,0,0.2,0,4.2,32.29,1.2,,19.374,1
3.41,,0.4,0.792,67.91,0.6,40.746,69.89,5.5,0.4,2.2,18.79,0.6,11.274,2,0.2,0.4,1,0.4,0.4,4.4,55.812,,0.5,,1
3.41,10.08,0.6,6.048,22.31,0.6,13.386,32.39,,0.4,2.2,16.82,0.6,10.092,2,0.2,0.4,0,0.2,0,4.4,32.126,0.4,0.5,6.4252,1
3.41,1.44,0.4,0.576,9.65,0.4,,11.09,6.5,0.6,3.9,10.03,0.6,6.018,2,0.2,0.4,0,0.2,0,4,14.754,0.4,0.5,2.9508,1
3.41,25.4,0.6,15.24,51.74,0.6,31.044,77.14,5,0.2,1,12.67,0.6,7.602,6,0.2,1.2,2,0.6,1.2,4.8,57.286,2.4,0.5,68.7432,1
3.41,3.21,,1.926,72.07,0.6,43.242,75.28,5,0.2,1,13.79,0.6,8.274,6,0.2,1.2,1,0.4,0.4,4.6,56.042,1.6,0.5,44.8336,1
3.41,12.28,0.6,7.368,20.62,0.6,12.372,32.9,5,0.2,1,10.16,0.6,6.096,2,0.2,0.4,1,0.4,0.4,4.2,27.636,0.8,0.5,,1
3.41,6.93,0.6,4.158,70.26,0.6,42.156,77.19,5,0.2,1,9.73,0.4,3.892,2,0.2,0.4,0,0.2,0,3.8,51.606,0.4,0.5,10.3212,1
3.41,3.34,0.6,2.004,37.59,0.6,22.554,40.93,,0.2,1,26.95,0.6,16.17,2,0.2,,0,0.2,0,4,42.128,0.4,0.5,8.4256,1
3.41,15.66,0.6,9.396,74.53,0.6,44.718,90.19,5,0.2,1,29.07,0.6,17.442,2,0.2,0.4,0,0.2,0,4,,0.4,,14.5912,1
3.41,2.92,0.6,1.752,,0.4,2.096,8.16,5,0.2,1,9.76,0.4,3.904,2,0.2,0.4,0,0.2,0,3.2,9.152,0.4,0.5,1.8304,1
3.41,,0.2,,28.06,0.6,16.836,28.89,5,0.2,1,13.31,0.6,7.986,2,0.2,0.4,0,0.2,0,3.6,26.388,0.4,,5.2776,1
,1.97,0.4,0.788,30.25,0.6,18.15,,5,0.2,1,0.68,,0.136,2,0.2,0.4,0,,0,3.4,20.474,0.4,0.5,4.0948,1
3.41,10,0.6,6,47.9,0.6,28.74,57.9,5,0.2,,7.7,0.4,3.08,2,0.2,0.4,0,0.2,0,3.8,39.22,0.4,0.5,7.844,1
3.41,13.06,0.6,7.836,45.42,0.6,27.252,58.48,5,0.2,1,10.4,0.6,6.24,2,0.2,0.4,0,0.2,0,4,42.728,0.4,0.5,8.5456,1
3.41,1.35,0.4,0.54,33.25,0.6,19.95,34.6,5.5,0.4,2.2,20.62,0.6,12.372,2,0.2,,0,0.2,0,4.2,35.462,0.4,0.5,7.0924,1
3.41,,0.6,2.478,16.74,0.6,10.044,20.87,5,0.2,,44.02,0.6,26.412,2,0.2,0.4,0,0.2,0,4,40.334,0.4,0.5,8.0668,1
3.41,12.62,0.6,7.572,80.06,0.6,48.036,92.68,5.5,0.4,2.2,,0.6,26.118,4,0.2,0.8,0,0.2,0,4.6,84.726,0.8,0.5,33.8904,1
3.41,16.36,0.6,9.816,41.1,0.6,24.66,57.46,5,0.2,1,12.03,,7.218,4,0.2,0.8,0,0.2,0,4.2,43.494,0.8,0.5,17.3976,1
3.41,12.68,0.6,7.608,,0.6,24.6,53.68,5.5,0.4,2.2,11.88,0.6,7.128,2,0.2,0.4,0,0.2,0,4.4,41.936,0.4,0.5,8.3872,1
3.41,11.73,0.6,7.038,85.87,0.6,51.522,97.6,5,0.2,1,6.96,0.4,2.784,2,0.2,0.4,1,0.4,0.4,4,63.144,0.8,0.5,25.2576,1
3.41,5.15,0.6,3.09,44.67,,26.802,49.82,5.5,0.4,2.2,21.07,0.6,12.642,2,,0.4,0,0.2,0,4.4,45.134,0.4,0.5,9.0268,1
3.41,6.61,0.6,3.966,55.62,0.6,,62.23,5,,1,57.16,0.6,34.296,2,0.4,0.8,0,0.2,,4.2,73.434,0.8,0.5,29.3736,1
3.41,8.03,0.6,4.818,94.43,0.6,56.658,102.46,5.5,0.4,2.2,10.65,0.6,6.39,2,0.2,0.4,2,0.6,1.2,4.8,71.666,1.6,0.5,,1
3.41,1.21,0.4,0.484,34.03,0.6,20.418,35.24,5,0.2,1,5.36,0.4,2.144,2,,0.4,0,0.2,0,3.6,24.446,0.4,0.5,4.8892,1
3.41,1.64,0.4,0.656,46.21,0.6,27.726,47.85,5,0.2,1,2.45,0.2,0.49,2,0.2,0.4,0,0.2,0,3.4,30.272,0.4,0.5,6.0544,1
3.41,1.21,0.4,,43.84,0.6,26.304,45.05,5.5,,2.2,31.61,0.6,18.966,2,,,0,0.2,0,4.2,48.354,,0.5,9.6708,1
3.41,1.1,0.4,0.44,87.71,0.6,52.626,88.81,5.5,0.4,2.2,34.32,0.6,20.592,2,0.2,0.4,0,0.2,0,4.2,76.258,0.4,0.5,15.2516,1
3.41,4.17,0.6,2.502,,0.6,14.622,28.54,5,0.2,1,4.24,0.2,0.848,2,0.2,0.4,0,0.2,0,3.6,19.372,0.4,0.5,3.8744,1
3.41,1.08,0.4,0.432,32.71,0.6,19.626,33.79,5,0.2,1,8.38,0.4,3.352,2,0.2,0.4,0,0.2,0,3.6,24.81,0.4,0.5,4.962,1
3.41,12.29,0.6,7.374,25.74,0.6,15.444,38.03,5,0.2,1,22.1,0.6,13.26,2,0.4,0.8,0,0.2,0,4.2,37.878,0.8,0.5,15.1512,1
3.41,12.54,0.6,7.524,31.62,0.6,18.972,44.16,5,0.2,1,54.07,0.6,,2,0.2,0.4,0,0.2,0,4,60.338,0.4,0.5,12.0676,1
3.41,17.26,0.6,10.356,44.22,0.6,26.532,61.48,5,0.2,1,27.68,0.6,16.608,2,0.2,0.4,1,0.4,0.4,4.2,55.296,0.8,0.5,22.1184,1
3.41,1.15,0.4,0.46,20.1,0.6,12.06,21.25,6,0.6,3.6,21.45,0.6,12.87,2,0.2,0.4,,0.2,0,4.6,29.39,0.4,0.5,5.878,1
3.41,20.04,0.6,12.024,48.9,0.6,29.34,68.94,5,0.2,1,11.09,0.6,6.654,2,0.2,0.4,0,0.2,0,4,49.418,0.4,0.5,9.8836,1
